corruption_rate,run,architecture,aggregator,mean_utility,mean_fairness,mean_worst_group
0.25,1,hierarchical,confidence_weighted,0.4298394989329268,0.9284054057139219,0.2826263429754962
0.25,1,hierarchical,random_dictator,0.4298394989329268,0.9284054057139219,0.2826263429754962
0.25,1,hierarchical,supervisor_rerank,0.43332276155143185,0.9292926211957023,0.28598421145397224
0.25,1,hierarchical,oracle,0.41976296970509047,0.9301151044447813,0.2767005716490407
0.25,1,flat,majority_vote,0.44411148810573575,0.9077631694266797,0.2710430112970056
0.25,1,flat,oracle_upper_bound,0.4556715303367577,0.8981418179160304,0.26588012244943476
0.25,1,flat,self_consistency,0.44525885108514196,0.9057327409285246,0.2687496905194031
0.25,1,flat,ema_trust,0.44411148810573575,0.9077631694266797,0.2710430112970056
0.25,1,flat,trimmed_vote,0.44411148810573575,0.9077631694266797,0.2710430112970056
0.25,1,flat,multiplicative_weights,0.44411148810573575,0.9077631694266797,0.2710430112970056
0.25,1,flat,confidence_weighted,0.44411148810573575,0.9077631694266797,0.2710430112970056
0.25,1,flat,random_dictator,0.43898927898767615,0.9087772441968954,0.2709040876131731
0.25,1,flat,supervisor_rerank,0.4487075379299889,0.9016523083633755,0.2664209554492979
0.25,1,flat,oracle,0.45739868852347954,0.8980722550827293,0.2651646311221706
0.25,2,hierarchical,majority_vote,0.41546753781845464,0.9272113754375876,0.2799067041806081
0.25,2,hierarchical,oracle_upper_bound,0.4257752930009206,0.9304674604418932,0.28484743272347307
0.25,2,hierarchical,self_consistency,0.41546753781845464,0.9272113754375876,0.2799067041806081
0.25,2,hierarchical,ema_trust,0.41546753781845464,0.9272113754375876,0.2799067041806081
0.25,2,hierarchical,trimmed_vote,0.4174795739211338,0.9263547247414796,0.2793298867785564
0.25,2,hierarchical,multiplicative_weights,0.41546753781845464,0.9272113754375876,0.2799067041806081
0.25,2,hierarchical,confidence_weighted,0.41546753781845464,0.9272113754375876,0.2799067041806081
0.25,2,hierarchical,random_dictator,0.41668663447380094,0.9269002966149446,0.279790931993151
0.25,2,hierarchical,supervisor_rerank,0.4233075487038734,0.9301089612406341,0.2830848915712011
0.25,2,hierarchical,oracle,0.43141785121121856,0.9259082224919343,0.2795408984890846
0.25,2,flat,majority_vote,0.4147652265316518,0.9081646094633602,0.25965190375626845
0.25,2,flat,oracle_upper_bound,0.4303867747838485,0.890664608155596,0.25152378524750085
0.25,2,flat,self_consistency,0.4147652265316518,0.9081646094633602,0.25965190375626845
0.25,2,flat,ema_trust,0.4147652265316518,0.9081646094633602,0.25965190375626845
0.25,2,flat,trimmed_vote,0.4147652265316518,0.9081646094633602,0.25965190375626845
0.25,2,flat,multiplicative_weights,0.4147652265316518,0.9081646094633602,0.25965190375626845
0.25,2,flat,confidence_weighted,0.4147652265316518,0.9081646094633602,0.25965190375626845
0.25,2,flat,random_dictator,0.4189959942387966,0.9095150865011974,0.26307983811695074
0.25,2,flat,supervisor_rerank,0.4148974309534916,0.9105363984148005,0.2601398454227873
0.25,2,flat,oracle,0.43421105100493457,0.9013729359724904,0.26130767431634816
0.5,0,hierarchical,majority_vote,0.42380427555225697,0.92342148408556,0.2759637162400615
0.5,0,hierarchical,oracle_upper_bound,0.4260675770273377,0.921120662220977,0.2704352386769631
0.5,0,hierarchical,self_consistency,0.42380427555225697,0.92342148408556,0.2759637162400615
0.5,0,hierarchical,ema_trust,0.42380427555225697,0.92342148408556,0.2759637162400615
0.5,0,hierarchical,trimmed_vote,0.42380427555225697,0.92342148408556,0.2759637162400615
0.5,0,hierarchical,multiplicative_weights,0.42380427555225697,0.92342148408556,0.2759637162400615
0.5,0,hierarchical,confidence_weighted,0.42380427555225697,0.92342148408556,0.2759637162400615
0.5,0,hierarchical,random_dictator,0.42092577873964326,0.920709757587085,0.26822479004486965
0.5,0,hierarchical,supervisor_rerank,0.41185877330047094,0.9196770083137411,0.2624436697108688
0.5,0,hierarchical,oracle,0.43885750572781324,0.9260861019555279,0.28570246504327074
0.5,0,flat,majority_vote,0.4542180799956414,0.9278448694668253,0.3022160556848325
0.5,0,flat,oracle_upper_bound,0.4679904656456422,0.9032890414118697,0.276475262763432
0.5,0,flat,self_consistency,0.461088901735641,0.9131677466665101,0.28542535201698893
0.5,0,flat,ema_trust,0.4543187782003478,0.925101866644162,0.29848150287309044
0.5,0,flat,trimmed_vote,0.45176752016226024,0.9250996469907805,0.29784947344633106
0.5,0,flat,multiplicative_weights,0.4543187782003478,0.925101866644162,0.29848150287309044
0.5,0,flat,confidence_weighted,0.4543187782003478,0.925101866644162,0.29848150287309044
0.5,0,flat,random_dictator,0.4570712467152349,0.9192076425403394,0.28934678830854665
0.5,0,flat,supervisor_rerank,0.45980448685775344,0.9079697530555669,0.280691837101008
0.5,0,flat,oracle,0.47150301211291107,0.9059569829305921,0.2822482512498779
0.5,1,hierarchical,majority_vote,0.41687212884121133,0.9297667923856634,0.27761720512828264
0.5,1,hierarchical,oracle_upper_bound,0.4267826972677584,0.9336318053924649,0.2902310053949264
0.5,1,hierarchical,self_consistency,0.41687212884121133,0.9297667923856634,0.27761720512828264
0.5,1,hierarchical,ema_trust,0.41687212884121133,0.9297667923856634,0.27761720512828264
0.5,1,hierarchical,trimmed_vote,0.41687212884121133,0.9297667923856634,0.27761720512828264
0.5,1,hierarchical,multiplicative_weights,0.41687212884121133,0.9297667923856634,0.27761720512828264
0.5,1,hierarchical,confidence_weighted,0.41687212884121133,0.9297667923856634,0.27761720512828264
0.5,1,hierarchical,random_dictator,0.412557872012465,0.9258297546438394,0.271165478057479
0.5,1,hierarchical,supervisor_rerank,0.4267826972677584,0.9336318053924649,0.2902310053949264
0.5,1,hierarchical,oracle,0.41239040191507187,0.9295122697091822,0.2744798682653225
0.5,1,flat,majority_vote,0.4544365513421294,0.9333370199249654,0.30375623489050857
0.5,1,flat,oracle_upper_bound,0.45466398428404603,0.9322769359487331,0.3031632860919498
0.5,1,flat,self_consistency,0.4564265037937575,0.9231799230971975,0.29411039630087593
0.5,1,flat,ema_trust,0.4544365513421294,0.9333370199249654,0.30375623489050857
0.5,1,flat,trimmed_vote,0.4544365513421294,0.9333370199249654,0.30375623489050857
0.5,1,flat,multiplicative_weights,0.4544365513421294,0.9333370199249654,0.30375623489050857
0.5,1,flat,confidence_weighted,0.4544365513421294,0.9333370199249654,0.30375623489050857
0.5,1,flat,random_dictator,0.4463934308990279,0.9281689144053558,0.29111449366458597
0.5,1,flat,supervisor_rerank,0.4441440197448152,0.9323417588049967,0.2987914398191373
0.5,1,flat,oracle,0.4636938084770397,0.9247970252391148,0.2958548836580056
0.5,2,hierarchical,majority_vote,0.4189824151696863,0.9239495195813546,0.27308249865642614
0.5,2,hierarchical,oracle_upper_bound,0.4244988299289549,0.9250282186848843,0.278023735899504
0.5,2,hierarchical,self_consistency,0.4189824151696863,0.9239495195813546,0.27308249865642614
0.5,2,hierarchical,ema_trust,0.4244988299289549,0.9250282186848843,0.278023735899504
0.5,2,hierarchical,trimmed_vote,0.418411498716891,0.9203509901465964,0.26791712357883035
0.5,2,hierarchical,multiplicative_weights,0.4244988299289549,0.9250282186848843,0.278023735899504
0.5,2,hierarchical,confidence_weighted,0.4244988299289549,0.9250282186848843,0.278023735899504
